IndicatorID,Year,YearRange,Quarter,Month,AgeID,SexID,AreaCode,Count,Value,ExpectedValue,LowerCI,UpperCI,Denominator,Denominator_2,ValueNoteID,categorytypeid,categoryid
90630,2009,1,-1,-1,199,4,E92000001,129960,14.53536817,-1,14.46246343,14.60857765,894095,-1,0,3,7
90630,2010,1,-1,-1,199,4,E92000001,128280,14.26966417,-1,14.19751496,14.34211875,898970,-1,0,3,7
90630,2011,1,-1,-1,199,4,E92000001,125480,13.93440347,-1,13.8630313,14.00608335,900505,-1,0,3,7
90630,2006,1,-1,-1,199,4,E92000001,90505,11.62518866,-1,11.55417858,11.69657744,778525,-1,0,3,8
90630,2007,1,-1,-1,199,4,E92000001,93835,11.94475384,-1,11.87322313,12.01665673,785575,-1,0,3,8
90630,2008,1,-1,-1,199,4,E92000001,92195,11.72516851,-1,11.65424522,11.79646578,786300,-1,0,3,8
90630,2009,1,-1,-1,199,4,E92000001,100415,12.62391019,-1,12.55110474,12.69707664,795435,-1,0,3,8
90630,2010,1,-1,-1,199,4,E92000001,97400,12.2113287,-1,12.13965667,12.28336473,797620,-1,0,3,8
90630,2011,1,-1,-1,199,4,E92000001,95190,11.93949352,-1,11.8685016,12.01085221,797270,-1,0,3,8
90630,2006,1,-1,-1,199,4,E92000001,88670,10.65073121,-1,10.58464761,10.71717794,832525,-1,0,3,9
90630,2007,1,-1,-1,199,4,E92000001,91055,10.85221889,-1,10.78584467,10.91895158,839045,-1,0,3,9
90630,2008,1,-1,-1,199,4,E92000001,90565,10.75223498,-1,10.68625848,10.81856947,842290,-1,0,3,9
90630,2009,1,-1,-1,199,4,E92000001,98875,11.5804453,-1,11.51274396,11.64849235,853810,-1,0,3,9
90630,2010,1,-1,-1,199,4,E92000001,96975,11.27976969,-1,11.21307287,11.34681254,859725,-1,0,3,9
90630,2011,1,-1,-1,199,4,E92000001,94865,11.01218288,-1,10.94625173,11.07846173,861455,-1,0,3,9
90630,2006,1,-1,-1,199,4,E92000001,406700,37.94179522,-1,37.84997815,38.03369871,1071905,-1,0,2,1
90630,2007,1,-1,-1,199,4,E92000001,424705,39.61079841,-1,39.51825995,39.70341131,1072195,-1,0,2,1
90630,2008,1,-1,-1,199,4,E92000001,405195,37.36324028,-1,37.27223618,37.4543339,1084475,-1,0,2,1
90630,2009,1,-1,-1,199,4,E92000001,403555,36.18791838,-1,36.098777,36.27715492,1115165,-1,0,2,1
90630,2010,1,-1,-1,199,4,E92000001,388520,34.45884221,-1,34.37117519,34.54661513,1127490,-1,0,2,1
90630,2011,1,-1,-1,199,4,E92000001,377110,33.16900263,-1,33.08251592,33.25560306,1136935,-1,0,2,1
90630,2006,1,-1,-1,199,4,E92000001,148930,11.17971392,-1,11.12631474,11.23333699,1332145,-1,0,2,10
90630,2007,1,-1,-1,199,4,E92000001,153555,11.43637027,-1,11.38264962,11.49031159,1342690,-1,0,2,10
90630,2008,1,-1,-1,199,4,E92000001,151965,11.2508329,-1,11.19765339,11.30423283,1350700,-1,0,2,10
90630,2009,1,-1,-1,199,4,E92000001,165470,12.05627769,-1,12.001908,12.11085978,1372480,-1,0,2,10
90630,2010,1,-1,-1,199,4,E92000001,161855,11.70940449,-1,11.65590936,11.76311245,1382265,-1,0,2,10
90630,2011,1,-1,-1,199,4,E92000001,158145,11.40231659,-1,11.34952724,11.45531974,1386955,-1,0,2,10
90630,2006,1,-1,-1,199,4,E92000001,272155,31.86528194,-1,31.76654436,31.96418265,854080,-1,0,2,2
90630,2007,1,-1,-1,199,4,E92000001,285430,33.27485005,-1,33.17521045,33.37463945,857795,-1,0,2,2
90630,2008,1,-1,-1,199,4,E92000001,275575,31.72323685,-1,31.62544953,31.82118581,868685,-1,0,2,2
90630,2009,1,-1,-1,199,4,E92000001,279170,31.18782293,-1,31.09193473,31.28387259,895125,-1,0,2,2
90630,2010,1,-1,-1,199,4,E92000001,271260,29.87461385,-1,29.78055461,29.96884337,907995,-1,0,2,2
90630,2011,1,-1,-1,199,4,E92000001,267005,29.15410989,-1,29.06111981,29.24727484,915840,-1,0,2,2
90630,2006,1,-1,-1,199,4,E92000001,194275,25.72701751,-1,25.62854852,25.82573345,755140,-1,0,2,3
90630,2007,1,-1,-1,199,4,E92000001,202400,26.83424814,-1,26.73436949,26.93436275,754260,-1,0,2,3
90630,2008,1,-1,-1,199,4,E92000001,197060,26.03669131,-1,25.93794806,26.13567781,756855,-1,0,2,3
90630,2009,1,-1,-1,199,4,E92000001,202865,26.34524853,-1,26.24697756,26.44375551,770025,-1,0,2,3
90630,2010,1,-1,-1,199,4,E92000001,197715,25.64164084,-1,25.54429953,25.73922485,771070,-1,0,2,3
